id,pedido_id,produto_id,cliente_id,nota,comentario,data_avaliacao,tem_comentario,sentimento
1,13462,18,2066,4,,2024-11-07,False,positivo
2,2283,88,2585,5,Entrega rápida e produto conforme descrito.,2024-01-14,True,positivo
3,11489,187,485,5,,2024-03-31,False,positivo
4,3990,141,2932,5,"Produto excelente, chegou antes do prazo!",2023-12-06,True,positivo
5,4858,55,941,2,"Não recomendo, péssima experiência.",2023-06-20,True,negativo
6,5160,75,624,5,Muito satisfeito com a compra.,2023-06-07,True,positivo
7,2083,41,1630,4,Entrega rápida e produto conforme descrito.,2023-08-29,True,positivo
8,12984,76,2008,3,"Entrega no prazo, produto regular.",2024-08-30,True,neutro
9,9137,107,1060,1,"Não recomendo, péssima experiência.",2024-09-23,True,negativo
10,13325,126,51,1,Veio diferente do anunciado.,2024-02-27,True,negativo
11,10376,8,50,5,Muito satisfeito com a compra.,2023-03-12,True,positivo
12,1157,190,1268,4,"Produto excelente, chegou antes do prazo!",2023-05-18,True,positivo
13,14443,7,943,2,,2024-01-21,False,negativo
14,5818,100,1219,3,"Produto ok, dentro do esperado.",2023-05-16,True,neutro
15,1641,96,679,2,Produto veio com defeito.,2024-02-17,True,negativo
16,6494,4,2043,5,"Qualidade ótima, recomendo.",2024-02-23,True,positivo
17,3610,49,2974,5,,2024-09-04,False,positivo
18,2035,31,1007,4,Muito satisfeito com a compra.,2023-03-16,True,positivo
19,9017,72,2877,5,"Produto excelente, chegou antes do prazo!",2024-09-13,True,positivo
20,3470,184,1231,1,Produto veio com defeito.,2024-06-03,True,negativo
21,11479,66,531,5,Entrega rápida e produto conforme descrito.,2024-06-06,True,positivo
22,6984,122,1359,4,Superou minhas expectativas!,2023-06-29,True,positivo
23,4533,56,2955,2,Produto veio com defeito.,2023-11-28,True,negativo
24,3519,58,1993,5,Muito satisfeito com a compra.,2023-12-29,True,positivo
25,8766,73,2389,5,"Produto excelente, chegou antes do prazo!",2024-08-23,True,positivo
26,10158,116,950,1,Qualidade abaixo do esperado.,2023-08-17,True,negativo
27,9908,15,1299,5,Entrega rápida e produto conforme descrito.,2024-01-02,True,positivo
28,10307,1,1327,1,,2023-12-17,False,negativo
29,8819,25,2458,3,,2024-08-14,False,neutro
30,2804,109,809,2,"Não recomendo, péssima experiência.",2023-12-23,True,negativo
31,5519,124,2071,5,Superou minhas expectativas!,2023-01-16,True,positivo
32,5827,75,213,4,,2023-03-04,False,positivo
33,4545,46,1837,5,"Qualidade ótima, recomendo.",2024-12-09,True,positivo
34,3063,73,2282,5,"Produto excelente, chegou antes do prazo!",2023-10-20,True,positivo
35,11903,22,146,5,"Produto excelente, chegou antes do prazo!",2023-08-08,True,positivo
36,8977,191,1978,4,"Qualidade ótima, recomendo.",2023-10-29,True,positivo
37,13026,149,1730,5,,2023-11-28,False,positivo
38,9602,73,2580,3,,2024-12-21,False,neutro
39,9669,51,2198,4,,2023-08-05,False,positivo
